,datetime,content,title
0,2023-01-20 14:33:06,韩国KOSPI指数1月20日（周五）收盘上涨14.92点，涨幅0.63%，报2395.26点。,
1,2023-01-20 14:32:51,蔚蓝锂芯1月20日在互动平台表示，公司LED业务为LED芯片制造销售，公司有MINILED相关产品。,
2,2023-01-20 14:31:04,【“春节档”黄金消费客流倍增 销售端称“一个月卖了三个月的量”】临近新春，黄金迎来消费旺季。记者近日走访澳门以及华南、华东地区部分一二三线城市金店发现，黄金售卖专柜前人气爆棚，客流量较平时成倍增长，购买者以年轻人居多。老凤祥证券部人士表示，疫情好转叠加黄金价格走高，今年春节销售预期较好。其中，受益于年轻人春节返乡等因素，三四线城市的销量明显增加。据记者访问的实体门店销售人员反馈，“临近过年，真的是很好卖。人一波一波的来”“一个月卖了三个月的量”。,
3,2023-01-20 14:28:06,【秦刚同印尼外长蕾特诺通电话】据外交部网站，2023年1月20日，外交部长秦刚同印度尼西亚外长蕾特诺通电话。秦刚说，印尼是东盟主要国家，也是“一带一路”重要合作伙伴。当前，中印尼双边关系面临新的发展机遇。中方鼓励更多优质中国企业赴印尼投资兴业，希望印尼提供更多安全保障和政策便利。秦刚表示，中方全力支持印尼东盟轮值主席国工作，相信印尼将展现领导力，推动东盟共同体建设和东亚合作取得更大发展。,
4,2023-01-20 14:26:52,【工业硅主力合约日内涨超4%】工业硅主力合约日内涨超4%，现报18610元/吨。,
5,2023-01-20 14:26:35,【高通CEO：全球半导体晶圆代工产能未来十年还需提高一倍】高通CEO Cristiano Amon日前接受CNBC采访时表示，随着数字化转型和万物互联深入，未来10年全球需要再增加一倍的晶圆代工产能。另外，Amon强调，高通目前正在汽车芯片等新兴市场高歌猛进，“我们几乎和所有的车厂有合作。”,
6,2023-01-20 14:24:04,"【1月20日：""农产品批发价格200指数""比昨天上升1.12个点】据农业农村部监测，1月20日""农产品批发价格200指数""为137.11，比昨天上升1.12个点，“菜篮子”产品批发价格指数为140.27，比昨天上升1.31个点。截至今日14:00时，全国农产品批发市场猪肉平均价格为23.25元/公斤，比昨天上升0.9%；牛肉78.11元/公斤，比昨天下降0.3%；羊肉68.93元/公斤，比昨天下降0.7%；鸡蛋11.25元/公斤，比昨天下降0.1%；白条鸡18.59元/公斤，比昨天下降3.7%。",
7,2023-01-20 14:23:20,【亚马逊将从2月起提高部分音乐订阅的价格】电子商务巨头亚马逊公司周四表示，将从2月起提高部分音乐订阅的价格。根据该公司的常见问题解答页面，Amazon Music的“无限个人计划”的价格将上涨1美元至每月10.99美元，而其“无限个人学生计划”的价格将从每月4.99美元上涨至5.99美元。该公司表示，更新后的定价从2月21日开始，客户将在该日期后开始在他们的账单上看到新价格。,
8,2023-01-20 14:21:20,据摩根大通预测，2023财年英国GDP将下降0.1%，而此前预计为下降0.3%。,
9,2023-01-20 14:20:36,澳大利亚S&P/ASX200指数1月20日（周五）收盘上涨16.90点，涨幅0.23%，报7452.20点。,
